Lab_No,Sex,Age,Town,Range,Section,Tag_Date,TB+
346191,female,3.5,27N,05E,12,2012-11-17,Pos
346037,male,3.5,29N,04E,16,2012-11-25,Pos
44558,female,5.5,28N,06E,5,1999-12-20,Pos
44559,female,4.5,28N,06E,5,1999-12-20,Pos
501760,male,3.5,27N,06E,15,2009-11-19,Pos
526924,male,3.5,28N,04E,27,2015-10-26,Pos
80910,male,3.5,28N,07E,28,2001-11-21,Pos
8468,female,3.5,29N,05E,2,1998-11-28,Pos
541625,male,4.5,27N,07E,1,2016-11-21,Pos
617723,female,4.5,28N,06E,24,2018-11-20,Pos
81024,male,2.5,29N,06E,23,2000-11-17,Pos
81017,male,4.5,29N,04E,Q,2000-11-16,Pos
80927,male,2.5,30N,05E,36,2001-11-18,Pos
B-1889,male,1.5,29N,04E,8,11/  /96,Pos
80925,male,1.5,29N,06E,12,2001-11-16,Pos
81164,male,2.5,27N,07E,24,2001-11-19,Pos
80909,male,2.5,27N,06E,8,2001-11-20,Pos
F-0505,male,2.5,30N,05E,25,1997-11-15,Pos
80908,male,3.5,28N,05E,1,2001-11-15,Pos
80907,female,3.5,28N,05E,25,2001-11-02,Pos
538774,male,3.5,29N,06E,18,2015-11-24,Pos
541538,female,5.5,29N,05E,4,2016-11-21,Pos
F-1691,female,2.5,28N,07E,13,1997-11-16,Pos
F-0626,male,2.5,28N,07E,29,1997-11-16,Pos
F-0260,male,2.5,30N,04E,22,1997-10-04,Pos
81654,male,Q,27N,07E,4,2000-12-01,Pos
95-A-38,female,3.5,28N,04E,3,Q,Pos
81652,male,2.5,28N,06E,26,2000-11-15,Pos
F-0630,female,7.5,27N,07E,18,1997-11-15,Pos
F-0629,male,2.5,28N,07E,29,1997-11-15,Pos
81045,female,2.5,28N,04E,7,2001-10-20,Pos
F-0628,male,3.5,27N,06E,13,1997-11-16,Pos
541644,male,3.5,29N,04E,20,2016-11-19,Pos
81402,female,3.5,29N,06E,4,2001-12-23,Pos
B-539,male,2.5,28N,05E,27,1996-11-15,Pos
F-0614,female,3.5,29N,04E,33,1997-11-15,Pos
B-2392,male,2.5,28N,04E,6,11/  /96,Pos
B-3223,male,2.5,29N,04E,23,1996-11-26,Pos
